HCPCS/Modifier Code	Type of Change
A0021	No change
A0080	No change
A0090	No change
A0100	No change
A0110	No change
A0120	No change
A0130	No change
A0140	No change
A0160	No change
A0170	No change
A0180	No change
A0190	No change
A0200	No change
A0210	No change
A0225	No change
A0380	No change
A0382	No change
A0384	No change
A0390	No change
A0392	No change
A0394	No change
A0396	No change
A0398	No change
A0420	No change
A0422	No change
A0424	No change
A0425	No change
A0426	No change
A0427	No change
A0428	No change
A0429	No change
A0430	No change
A0431	No change
A0432	No change
A0433	No change
A0434	No change
A0435	No change
A0436	No change
A0888	No change
A0998	No change
A0999	No change
A1	No change
A2	No change
A3	No change
A4	No change
A4206	No change
A4207	No change
A4208	No change
A4209	No change
A4210	No change
A4211	No change
A4212	No change
A4213	No change
A4215	No change
A4216	No change
A4217	No change
A4218	No change
A4220	No change
A4221	No change
A4222	No change
A4223	No change
A4230	No change
A4231	No change
A4232	No change
A4233	Change in Payment
A4234	Change in Payment
A4235	Change in Payment
A4236	Change in Payment
A4244	No change
A4245	No change
A4246	No change
A4247	No change
A4248	No change
A4250	No change
A4252	No change
A4253	No change
A4255	No change
A4256	No change
A4257	No change
A4258	No change
A4259	No change
A4261	No change
A4262	No change
A4263	No change
A4264	No change
A4265	No change
A4266	No change
A4267	No change
A4268	No change
A4269	No change
A4270	No change
A4280	No change
A4281	No change
A4282	No change
A4283	No change
A4284	No change
A4285	No change
A4286	No change
A4290	No change
A4300	No change
A4301	No change
A4305	No change
A4306	No change
A4310	No change
A4311	No change
A4312	No change
A4313	No change
A4314	No change
A4315	No change
A4316	No change
A4320	No change
A4321	No change
A4322	No change
A4326	No change
A4327	No change
A4328	No change
A4330	No change
A4331	No change
A4332	No change
A4333	No change
A4334	No change
A4335	No change
A4336	No change
A4337	Add
A4338	No change
A4340	No change
A4344	No change
A4346	No change
A4349	No change
A4351	No change
A4352	No change
A4353	No change
A4354	No change
A4355	No change
A4356	No change
A4357	No change
A4358	No change
A4360	No change
A4361	No change
A4362	No change
A4363	No change
A4364	No change
A4366	No change
A4367	No change
A4368	No change
A4369	No change
A4371	No change
A4372	No change
A4373	No change
A4375	No change
A4376	No change
A4377	No change
A4378	No change
A4379	No change
A4380	No change
A4381	No change
A4382	No change
A4383	No change
A4384	No change
A4385	No change
A4387	No change
A4388	No change
A4389	No change
A4390	No change
A4391	No change
A4392	No change
A4393	No change
A4394	No change
A4395	No change
A4396	No change
A4397	No change
A4398	No change
A4399	No change
A4400	No change
A4402	No change
A4404	No change
A4405	No change
A4406	No change
A4407	No change
A4408	No change
A4409	No change
A4410	No change
A4411	No change
A4412	No change
A4413	No change
A4414	No change
A4415	No change
A4416	No change
A4417	No change
A4418	No change
A4419	No change
A4420	No change
A4421	No change
A4422	No change
A4423	No change
A4424	No change
A4425	No change
A4426	No change
A4427	No change
A4428	No change
A4429	No change
A4430	No change
A4431	No change
A4432	No change
A4433	No change
A4434	No change
A4435	No change
A4450	No change
A4452	No change
A4455	No change
A4456	No change
A4458	No change
A4459	No change
A4461	No change
A4463	No change
A4465	No change
A4466	No change
A4470	No change
A4480	No change
A4481	No change
A4483	No change
A4490	No change
A4495	No change
A4500	No change
A4510	No change
A4520	No change
A4550	No change
A4554	No change
A4555	No change
A4556	No change
A4557	No change
A4558	No change
A4559	No change
A4561	No change
A4562	No change
A4565	No change
A4566	No change
A4570	No change
A4575	No change
A4580	No change
A4590	No change
A4595	No change
A4600	No change
A4601	No change
A4602	No change
A4604	No change
A4605	No change
A4606	No change
A4608	No change
A4611	No change
A4612	No change
A4613	No change
A4614	No change
A4615	No change
A4616	No change
A4617	No change
A4618	No change
A4619	No change
A4620	No change
A4623	No change
A4624	No change
A4625	No change
A4626	No change
A4627	No change
A4628	No change
A4629	No change
A4630	No change
A4633	No change
A4634	No change
A4635	No change
A4636	No change
A4637	No change
A4638	No change
A4639	No change
A4640	No change
A4641	No change
A4642	No change
A4648	No change
A4649	No change
A4650	No change
A4651	No change
A4652	No change
A4653	No change
A4657	No change
A4660	No change
A4663	No change
A4670	No change
A4671	No change
A4672	No change
A4673	No change
A4674	No change
A4680	No change
A4690	No change
A4706	No change
A4707	No change
A4708	No change
A4709	No change
A4714	No change
A4719	No change
A4720	No change
A4721	No change
A4722	No change
A4723	No change
A4724	No change
A4725	No change
A4726	No change
A4728	No change
A4730	No change
A4736	No change
A4737	No change
A4740	No change
A4750	No change
A4755	No change
A4760	No change
A4765	No change
A4766	No change
A4770	No change
A4771	No change
A4772	No change
A4773	No change
A4774	No change
A4802	No change
A4860	No change
A4870	No change
A4890	No change
A4911	No change
A4913	No change
A4918	No change
A4927	No change
A4928	No change
A4929	No change
A4930	No change
A4931	No change
A4932	No change
A5	No change
A5051	No change
A5052	No change
A5053	No change
A5054	No change
A5055	No change
A5056	No change
A5057	No change
A5061	No change
A5062	No change
A5063	No change
A5071	No change
A5072	No change
A5073	No change
A5081	No change
A5082	No change
A5083	No change
A5093	No change
A5102	No change
A5105	No change
A5112	No change
A5113	No change
A5114	No change
A5120	No change
A5121	No change
A5122	No change
A5126	No change
A5131	No change
A5200	No change
A5500	No change
A5501	No change
A5503	No change
A5504	No change
A5505	No change
A5506	No change
A5507	No change
A5508	No change
A5510	No change
A5512	No change
A5513	No change
A6	No change
A6000	No change
A6010	No change
A6011	No change
A6021	No change
A6022	No change
A6023	No change
A6024	No change
A6025	No change
A6154	No change
A6196	No change
A6197	No change
A6198	No change
A6199	No change
A6203	No change
A6204	No change
A6205	No change
A6206	No change
A6207	No change
A6208	No change
A6209	No change
A6210	No change
A6211	No change
A6212	No change
A6213	No change
A6214	No change
A6215	No change
A6216	No change
A6217	No change
A6218	No change
A6219	No change
A6220	No change
A6221	No change
A6222	No change
A6223	No change
A6224	No change
A6228	No change
A6229	No change
A6230	No change
A6231	No change
A6232	No change
A6233	No change
A6234	No change
A6235	No change
A6236	No change
A6237	No change
A6238	No change
A6239	No change
A6240	No change
A6241	No change
A6242	No change
A6243	No change
A6244	No change
A6245	No change
A6246	No change
A6247	No change
A6248	No change
A6250	No change
A6251	No change
A6252	No change
A6253	No change
A6254	No change
A6255	No change
A6256	No change
A6257	No change
A6258	No change
A6259	No change
A6260	No change
A6261	No change
A6262	No change
A6266	No change
A6402	No change
A6403	No change
A6404	No change
A6407	No change
A6410	No change
A6411	No change
A6412	No change
A6413	No change
A6441	No change
A6442	No change
A6443	No change
A6444	No change
A6445	No change
A6446	No change
A6447	No change
A6448	No change
A6449	No change
A6450	No change
A6451	No change
A6452	No change
A6453	No change
A6454	No change
A6455	No change
A6456	No change
A6457	No change
A6501	No change
A6502	No change
A6503	No change
A6504	No change
A6505	No change
A6506	No change
A6507	No change
A6508	No change
A6509	No change
A6510	No change
A6511	No change
A6512	No change
A6513	No change
A6530	No change
A6531	No change
A6532	No change
A6533	No change
A6534	No change
A6535	No change
A6536	No change
A6537	No change
A6538	No change
A6539	No change
A6540	No change
A6541	No change
A6544	No change
A6545	No change
A6549	No change
A6550	No change
A7	No change
A7000	No change
A7001	No change
A7002	No change
A7003	No change
A7004	No change
A7005	No change
A7006	No change
A7007	No change
A7008	No change
A7009	No change
A7010	No change
A7011	Discontinued
A7012	No change
A7013	No change
A7014	No change
A7015	No change
A7016	No change
A7017	No change
A7018	No change
A7020	No change
A7025	No change
A7026	No change
A7027	No change
A7028	No change
A7029	No change
A7030	No change
A7031	No change
A7032	No change
A7033	No change
A7034	No change
A7035	No change
A7036	No change
A7037	No change
A7038	No change
A7039	No change
A7040	No change
A7041	No change
A7042	No change
A7043	No change
A7044	No change
A7045	No change
A7046	No change
A7047	No change
A7048	No change
A7501	No change
A7502	No change
A7503	No change
A7504	No change
A7505	No change
A7506	No change
A7507	No change
A7508	No change
A7509	No change
A7520	No change
A7521	No change
A7522	No change
A7523	No change
A7524	No change
A7525	No change
A7526	No change
A7527	No change
A8	No change
A8000	No change
A8001	No change
A8002	No change
A8003	No change
A8004	No change
A9	No change
A9150	No change
A9152	No change
A9153	No change
A9155	No change
A9180	No change
A9270	No change
A9272	No change
A9273	No change
A9274	No change
A9275	No change
A9276	No change
A9277	No change
A9278	No change
A9279	No change
A9280	No change
A9281	No change
A9282	No change
A9283	No change
A9284	No change
A9300	No change
A9500	No change
A9501	No change
A9502	No change
A9503	No change
A9504	No change
A9505	No change
A9507	No change
A9508	No change
A9509	No change
A9510	No change
A9512	No change
A9516	No change
A9517	No change
A9520	Change in Payment
A9521	No change
A9524	No change
A9526	No change
A9527	No change
A9528	No change
A9529	No change
A9530	No change
A9531	No change
A9532	No change
A9536	No change
A9537	No change
A9538	No change
A9539	No change
A9540	No change
A9541	No change
A9542	No change
A9543	No change
A9544	No change
A9545	No change
A9546	No change
A9547	No change
A9548	No change
A9550	No change
A9551	No change
A9552	No change
A9553	No change
A9554	No change
A9555	No change
A9556	No change
A9557	No change
A9558	No change
A9559	No change
A9560	No change
A9561	No change
A9562	No change
A9563	No change
A9564	No change
A9566	No change
A9567	No change
A9568	No change
A9569	No change
A9570	No change
A9571	No change
A9572	No change
A9575	No change
A9576	No change
A9577	No change
A9578	No change
A9579	No change
A9580	No change
A9581	No change
A9582	No change
A9583	No change
A9584	No change
A9585	No change
A9586	No change
A9599	No change
A9600	No change
A9604	No change
A9606	No change
A9698	No change
A9699	No change
A9700	No change
A9900	No change
A9901	No change
A9999	No change
AA	No change
AD	No change
AE	No change
AF	No change
AG	No change
AH	No change
AI	No change
AJ	No change
AK	No change
AM	No change
AO	No change
AP	No change
AQ	No change
AR	No change
AS	No change
AT	No change
AU	No change
AV	No change
AW	No change
AX	No change
AY	No change
AZ	No change
B4034	No change
B4035	No change
B4036	No change
B4081	No change
B4082	No change
B4083	No change
B4087	No change
B4088	Miscellaneous Change (BETOS or Type of Service
B4100	No change
B4102	No change
B4103	No change
B4104	No change
B4149	No change
B4150	No change
B4152	No change
B4153	No change
B4154	No change
B4155	No change
B4157	No change
B4158	No change
B4159	No change
B4160	No change
B4161	No change
B4162	No change
B4164	No change
B4168	No change
B4172	No change
B4176	No change
B4178	No change
B4180	No change
B4185	No change
B4189	No change
B4193	No change
B4197	No change
B4199	No change
B4216	No change
B4220	No change
B4222	No change
B4224	No change
B5000	Change in Long Description
B5100	Change in Long Description
B5200	Change in Long Description
B9000	No change
B9002	No change
B9004	No change
B9006	No change
B9998	No change
B9999	No change
BA	No change
BL	No change
BO	No change
BP	No change
BR	No change
BU	No change
C1204	No change
C1300	No change
C1713	No change
C1714	No change
C1715	No change
C1716	No change
C1717	No change
C1719	No change
C1721	No change
C1722	No change
C1724	No change
C1725	No change
C1726	No change
C1727	No change
C1728	No change
C1729	No change
C1730	No change
C1731	No change
C1732	No change
C1733	No change
C1749	No change
C1750	No change
C1751	No change
C1752	No change
C1753	No change
C1754	No change
C1755	No change
C1756	No change
C1757	No change
C1758	No change
C1759	No change
C1760	No change
C1762	No change
C1763	No change
C1764	No change
C1765	No change
C1766	No change
C1767	No change
C1768	No change
C1769	No change
C1770	No change
C1771	No change
C1772	No change
C1773	No change
C1776	No change
C1777	No change
C1778	No change
C1779	No change
C1780	No change
C1781	No change
C1782	No change
C1783	No change
C1784	No change
C1785	No change
C1786	No change
C1787	No change
C1788	No change
C1789	No change
C1813	No change
C1814	No change
C1815	No change
C1816	No change
C1817	No change
C1818	No change
C1819	No change
C1820	Change in Long Description
C1821	No change
C1822	Add
C1830	No change
C1840	No change
C1841	No change
C1874	No change
C1875	No change
C1876	No change
C1877	No change
C1878	No change
C1879	No change
C1880	No change
C1881	No change
C1882	No change
C1883	No change
C1884	No change
C1885	No change
C1886	No change
C1887	No change
C1888	No change
C1891	No change
C1892	No change
C1893	No change
C1894	No change
C1895	No change
C1896	No change
C1897	No change
C1898	No change
C1899	No change
C1900	No change
C2613	Add
C2614	No change
C2615	No change
C2616	No change
C2617	No change
C2618	No change
C2619	No change
C2620	No change
C2621	No change
C2622	No change
C2623	Add
C2624	No change
C2625	No change
C2626	No change
C2627	No change
C2628	No change
C2629	No change
C2630	No change
C2631	No change
C2634	No change
C2635	No change
C2636	No change
C2637	No change
C2638	No change
C2639	No change
C2640	No change
C2641	No change
C2642	No change
C2643	No change
C2644	No change
C2645	Add
C2698	No change
C2699	No change
C5271	No change
C5272	No change
C5273	No change
C5274	No change
C5275	No change
C5276	No change
C5277	No change
C5278	No change
C8900	No change
C8901	No change
C8902	No change
C8903	No change
C8904	No change
C8905	No change
C8906	No change
C8907	No change
C8908	No change
C8909	No change
C8910	No change
C8911	No change
C8912	No change
C8913	No change
C8914	No change
C8918	No change
C8919	No change
C8920	No change
C8921	No change
C8922	No change
C8923	No change
C8924	No change
C8925	No change
C8926	No change
C8927	No change
C8928	No change
C8929	No change
C8930	No change
C8931	No change
C8932	No change
C8933	No change
C8934	No change
C8935	No change
C8936	No change
C8957	No change
C9021	No change
C9022	No change
C9023	No change
C9025	Discontinued
C9026	Discontinued
C9027	Discontinued
C9113	No change
C9121	No change
C9130	No change
C9131	No change
C9132	No change
C9133	No change
C9134	No change
C9135	No change
C9136	Discontinued
C9248	No change
C9250	No change
C9254	No change
C9257	No change
C9275	No change
C9279	No change
C9285	No change
C9286	No change
C9287	No change
C9288	No change
C9289	No change
C9290	No change
C9291	No change
C9292	No change
C9293	No change
C9294	No change
C9295	No change
C9296	No change
C9297	No change
C9298	No change
C9349	Change in Long Description
C9352	No change
C9353	No change
C9354	No change
C9355	No change
C9356	No change
C9358	No change
C9359	No change
C9360	No change
C9361	No change
C9362	No change
C9363	No change
C9364	No change
C9366	No change
C9367	No change
C9368	No change
C9369	No change
C9399	No change
C9441	No change
C9442	Discontinued
C9443	Discontinued
C9444	Discontinued
C9445	Discontinued
C9446	Discontinued
C9447	No change
C9448	Discontinued
C9449	Discontinued
C9450	Discontinued
C9451	Discontinued
C9452	Discontinued
C9453	Discontinued
C9454	Discontinued
C9455	Discontinued
C9456	Discontinued
C9457	Discontinued
C9458	Add
C9459	Add
C9460	Add
C9497	No change
C9600	No change
C9601	No change
C9602	No change
C9603	No change
